    "No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"1";"BANG. M. WANGI";"1";"2008-06-01";"20";"114";"9.5";"10.5";"1937712450";"920413414.32";"1017299035.68";"8073801.88";"928487216.20";"1009225233.80"
"2";"PERIJINAN BANG. M.WANGI";"1";"2007-12-01";"20";"119";"9.92";"10.08";"130600000";"64755833.73";"65844166.27";"544166.67";"65300000.40";"65299999.60"
"3";"BANG.M.WANGI";"1";"2008-07-28";"20";"112";"9.33";"10.67";"449943950";"209973843.52";"239970106.48";"1874766.46";"211848609.98";"238095340.02"
"4";"BANG. M.WANGI";"1";"2008-08-30";"20";"111";"9.25";"10.75";"291199000";"134679537.87";"156519462.13";"1213329.17";"135892867.04";"155306132.96"
"5";"BANG. M.WANGI";"1";"2008-08-30";"20";"111";"9.25";"10.75";"39500000";"18268749.63";"21231250.37";"164583.33";"18433332.96";"21066667.04"
"6";"BANG. M. WANGI";"1";"2008-09-26";"20";"110";"9.17";"10.83";"126486000";"57972750.00";"68513250.00";"527025";"58499775.00";"67986225.00"
"7";"BANG. M. WANGI";"1";"2008-09-27";"20";"110";"9.17";"10.83";"47000000";"21541666.30";"25458333.70";"195833.33";"21737499.63";"25262500.37"
"8";"BANG. M.WANGI";"1";"2008-10-31";"20";"109";"9.08";"10.92";"279928400";"127134147.97";"152794252.03";"1166368.33";"128300516.30";"151627883.70"
"9";"BANG. M.WANGI";"1";"2008-10-29";"20";"109";"9.08";"10.92";"33000000";"14987500.00";"18012500.00";"137500";"15125000.00";"17875000.00"
"10";"BANG. M.WANGI";"1";"2008-11-29";"20";"107";"8.92";"11.08";"228024150";"101660767.41";"126363382.59";"950100.63";"102610868.04";"125413281.96"
