    "No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"1";"BANG. M. WANGI";"1";"2008-06-01";"20";"115";"9.58";"10.42";"1937712450";"928487216.20";"1009225233.80";"8073801.88";"936561018.08";"1001151431.92"
"2";"PERIJINAN BANG. M.WANGI";"1";"2007-12-01";"20";"121";"10.08";"9.92";"130600000";"65844167.07";"64755832.93";"544166.67";"66388333.74";"64211666.26"
"3";"BANG.M.WANGI";"1";"2008-07-28";"20";"113";"9.42";"10.58";"449943950";"211848609.98";"238095340.02";"1874766.46";"213723376.44";"236220573.56"
"4";"BANG. M.WANGI";"1";"2008-08-30";"20";"112";"9.33";"10.67";"291199000";"135892867.04";"155306132.96";"1213329.17";"137106196.21";"154092803.79"
"5";"BANG. M.WANGI";"1";"2008-08-30";"20";"112";"9.33";"10.67";"39500000";"18433332.96";"21066667.04";"164583.33";"18597916.29";"20902083.71"
"6";"BANG. M. WANGI";"1";"2008-09-26";"20";"111";"9.25";"10.75";"126486000";"58499775.00";"67986225.00";"527025";"59026800.00";"67459200.00"
"7";"BANG. M. WANGI";"1";"2008-09-27";"20";"111";"9.25";"10.75";"47000000";"21737499.63";"25262500.37";"195833.33";"21933332.96";"25066667.04"
"8";"BANG. M.WANGI";"1";"2008-10-31";"20";"110";"9.17";"10.83";"279928400";"128300516.30";"151627883.70";"1166368.33";"129466884.63";"150461515.37"
"9";"BANG. M.WANGI";"1";"2008-10-29";"20";"110";"9.17";"10.83";"33000000";"15125000.00";"17875000.00";"137500";"15262500.00";"17737500.00"
"10";"BANG. M.WANGI";"1";"2008-11-29";"20";"109";"9.08";"10.92";"228024150";"103560968.67";"124463181.33";"950100.63";"104511069.30";"123513080.70"
"11";"BANG. M.WANGI";"1";"2008-11-26";"20";"109";"9.08";"10.92";"45500000";"20664582.97";"24835417.03";"189583.33";"20854166.30";"24645833.70"
"12";"BANG. M.WANGI";"1";"2008-12-30";"20";"108";"9";"11";"325344200";"146404889.64";"178939310.36";"1355600.83";"147760490.47";"177583709.53"
"13";"BANG.M.WANGI";"1";"2008-12-30";"20";"108";"9";"11";"32500000";"14625000.36";"17874999.64";"135416.67";"14760417.03";"17739582.97"
"14";"BANG.M.WANGI";"1";"2009-01-30";"20";"107";"8.92";"11.08";"248211450";"110660938.66";"137550511.34";"1034214.38";"111695153.04";"136516296.96"
"15";"BANG.M.WANGI";"1";"2009-01-30";"1";"12";"1";"0";"25000000";"25000000";"0";"0";"25000000";"0"
"16";"BANG.M.WANGI";"1";"2009-02-11";"20";"107";"8.92";"11.08";"19000000";"8470833.69";"10529166.31";"79166.67";"8550000.36";"10449999.64"
"17";"BANG.M.WANGI";"1";"2009-02-28";"20";"106";"8.83";"11.17";"145927350";"64451246.78";"81476103.22";"608030.63";"65059277.41";"80868072.59"
"18";"BANG. M.WANGI (SMP)";"1";"2009-03-28";"20";"105";"8.75";"11.25";"23924200";"10466837.85";"13457362.15";"99684.17";"10566522.02";"13357677.98"
"19";"BANG. M.WANGI(SMP)";"1";"2009-03-27";"1";"12";"1";"0";"6900000";"6900000";"0";"0";"6900000";"0"
"20";"BANG.M.WANGI(SMP)";"1";"2009-04-29";"20";"104";"8.67";"11.33";"65890500";"28552550.00";"37337950.00";"274543.75";"28827093.75";"37063406.25"
"21";"BANG.M.WANGI(SMP)";"1";"2009-04-24";"20";"104";"8.67";"11.33";"17050000";"7388333.68";"9661666.32";"71041.67";"7459375.35";"9590624.65"
"22";"BANG.M.WANGI(SMP)";"1";"2009-05-29";"20";"103";"8.58";"11.42";"24492000";"10511150.00";"13980850.00";"102050";"10613200.00";"13878800.00"
"23";"BANG.M.WANGI(SMP)";"1";"2009-05-30";"20";"103";"8.58";"11.42";"24700000";"10600417.01";"14099582.99";"102916.67";"10703333.68";"13996666.32"
"24";"BANG.M.WANGI (smp)";"1";"2009-06-26";"20";"102";"8.5";"11.5";"101021700";"42934222.50";"58087477.50";"420923.75";"43355146.25";"57666553.75"
"25";"BANG.M.WANGI (SMP)";"1";"2009-06-26";"20";"102";"8.5";"11.5";"22000000";"9350000.34";"12649999.66";"91666.67";"9441667.01";"12558332.99"
"26";"BANG.M.WANGI(SMP)";"1";"2009-07-30";"20";"101";"8.42";"11.58";"150537000";"63350987.50";"87186012.50";"627237.5";"63978225.00";"86558775.00"
"27";"BANG.M.WANGI(SMP)";"1";"2009-07-30";"20";"101";"8.42";"11.58";"27600000";"11615000.00";"15985000.00";"115000";"11730000.00";"15870000.00"
"28";"BANGUNAN M.WANGI";"1";"2009-08-30";"20";"100";"8.33";"11.67";"159567000";"66486250.00";"93080750.00";"664862.5";"67151112.50";"92415887.50"
"29";"ONGKOS BANGUNAN BP.WAHYU (MW)";"1";"2009-08-28";"20";"100";"8.33";"11.67";"20000000";"8333333.00";"11666667.00";"83333.33";"8416666.33";"11583333.67"
"30";"BANGUNAN  MEKAR WANGI";"1";"2009-09-30";"15";"99";"8.25";"6.75";"84976600";"46737129.78";"38239470.22";"472092.22";"47209222.00";"37767378.00"
"31";"ONGKOS TUK.BANGUNAN  MEKAR WANGI (WAHYU)";"1";"2009-09-30";"15";"99";"8.25";"6.75";"16000000";"8800000.11";"7199999.89";"88888.89";"8888889.00";"7111111.00"
"32";"BANGUNAN MEKAR WANGI";"1";"2009-10-30";"15";"98";"8.17";"6.83";"79892500";"43497027.56";"36395472.44";"443847.22";"43940874.78";"35951625.22"
"33";"ONGKOS TUKANG BANGUNAN MEKAR WANGI";"1";"2009-10-30";"15";"98";"8.17";"6.83";"27000000";"14700000.00";"12300000.00";"150000";"14850000.00";"12150000.00"
"34";"BANGUNAN MEKAR WANGI";"1";"2009-11-30";"15";"97";"8.08";"6.92";"127485000";"68700250.00";"58784750.00";"708250";"69408500.00";"58076500.00"
"35";"ONGKOS TUKANG BANGUNAN MW (BP.WAHYU)";"1";"2009-11-30";"15";"97";"8.08";"6.92";"22500000";"12125000.00";"10375000.00";"125000";"12250000.00";"10250000.00"
"36";"BANG. MW (SMP)";"1";"2009-12-30";"15";"96";"8";"7";"99354500";"52989066.24";"46365433.76";"551969.4399999999";"53541035.68";"45813464.32"
"37";"ONGKOS TK.BANG.MW (SMP)";"1";"2009-12-30";"15";"96";"8";"7";"28700000";"15306666.24";"13393333.76";"159444.44";"15466110.68";"13233889.32"
"38";"BANG.MW (SMP)";"1";"2010-01-30";"15";"95";"7.92";"7.08";"61784000";"32608221.80";"29175778.20";"343244.44";"32951466.24";"28832533.76"
"39";"ONGKOS TUKANG BANG. MW (SMP)";"1";"2010-01-30";"15";"95";"7.92";"7.08";"26000000";"13722221.80";"12277778.20";"144444.44";"13866666.24";"12133333.76"
"40";"ONGKOS TUKANG ( WAHYU )";"1";"2010-02-28";"15";"94";"7.83";"7.17";"21000000";"10966666.98";"10033333.02";"116666.67";"11083333.65";"9916666.35"
"41";"BANGUNAN MEKAR WANGI";"1";"2010-02-28";"15";"94";"7.83";"7.17";"158208000";"82619733.02";"75588266.98";"878933.33";"83498666.35";"74709333.65"
"42";"BANG. MW (SMP)";"1";"2010-03-30";"15";"93";"7.75";"7.25";"115401600";"59624160.00";"55777440.00";"641120";"60265280.00";"55136320.00"
"43";"ONGKOS TKG BANG.MW (SMP)";"1";"2010-03-30";"15";"93";"7.75";"7.25";"35000000";"18083332.92";"16916667.08";"194444.44";"18277777.36";"16722222.64"
"44";"BHN BANG.MW (SMP)";"1";"2010-04-30";"15";"92";"7.67";"7.33";"252221800";"128913364.24";"123308435.76";"1401232.22";"130314596.46";"121907203.54"
"45";"ONGKOS BANG. MW (SMP)";"1";"2010-04-30";"15";"92";"7.67";"7.33";"19500000";"9966666.36";"9533333.64";"108333.33";"10074999.69";"9425000.31"
"46";"BAHAN BANGUNAN MW( SMP)";"1";"2010-05-30";"15";"91";"7.58";"7.42";"66467300";"33602912.98";"32864387.02";"369262.78";"33972175.76";"32495124.24"
"47";"TUKANG BANG. MW ( SMP )";"1";"2010-05-30";"15";"91";"7.58";"7.42";"36000000";"18200000.00";"17800000.00";"200000";"18400000.00";"17600000.00"
"48";"BHN. BANG. MW TAHAP 3";"1";"2010-06-30";"15";"90";"7.5";"7.5";"58694500";"29347250.40";"29347249.60";"326080.56";"29673330.96";"29021169.04"
"49";"ONGKOS TUKANG BANG";"1";"2010-06-30";"15";"90";"7.5";"7.5";"26000000";"12999999.60";"13000000.40";"144444.44";"13144444.04";"12855555.96"
"50";"BANG. MW TAHAP3";"1";"2010-07-30";"15";"89";"7.42";"7.58";"87653343";"43339708.78";"44313634.22";"486963.02";"43826671.80";"43826671.20"
"51";"ONGKOS TUKANG BANG TAHAP 3";"1";"2010-07-30";"15";"89";"7.42";"7.58";"27500000";"13597222.42";"13902777.58";"152777.78";"13750000.20";"13749999.80"
