"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"1";"2019-12-02";"112.35.111";"bank bca r/k.77";"001/BCAUM-12/19";"SEWA LAPANGAN ATAS NAMA RADJAPARLAGUTAN/XGC BASKET BDG";"1250000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"2";"2019-12-02";"112.35.111";"bank bca r/k.77";"002/BCAUM-12/19";"SEWA LAPANG BASKET 4x BLN DES 2019 KLARISA YULIAND/KHARISMA SETIA";"1000000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"3";"2019-12-02";"112.35.111";"bank bca r/k.77";"003/BCAUM-12/19";"SEWA LAPANG BASKET 1x bln Des 2019 a/n IQBAL RAHARDI/SEVENITE";"300000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"4";"2019-12-02";"112.35.111";"bank bca r/k.77";"004/BCAUM-12/19";"BOOKING LAPANG 4x BLN DES 2019 a/n ANDRI SYAREL/BANDUNG KNIGHT";"1000000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"5";"2019-12-02";"112.35.111";"bank bca r/k.77";"005/BCAUM-12/19";"SEWA LAPANG BASKET 3x bln Des 2019 a/n WILSON/EXTRINZ98";"750000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"6";"2019-12-02";"112.35.111";"bank bca r/k.77";"006/BCAUM-12/19";"SEWA GOR TGL 2DES 2019 SENIN JM 20.00 a/n DICKY SASTRA/CHAMP";"300000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"7";"2019-12-02";"112.28.111";"bdi a/n. ykki";"001/BDIUM-12/19";"SETORAN USAHA DANA KOPERASI MW - UANG TINTA";"160000.00";"0.00";"219.21.111";"hutang lain2"
"8";"2019-12-03";"112.28.111";"bdi a/n. ykki";"002/BDIUM-12/19";"DANA BOP TK KOPER THP 2 bulan Desember 2019";"24900000.00";"0.00";"219.21.111";"hutang lain2"
"9";"2019-12-03";"112.28.111";"bdi a/n. ykki";"003/BDIUM-12/19";"SETORAN USAHA DANA KANTIN MEKAR";"1500000.00";"0.00";"219.21.111";"hutang lain2"
"10";"2019-12-03";"112.28.111";"bdi a/n. ykki";"004/BDIUM-12/19";"UANG JEMPUTAN BLN DES 19";"200000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"11";"2019-12-03";"112.28.111";"bdi a/n. ykki";"005/BDIUM-12/19";"DANA BOP TK TKI BULAN DESEMBER 2019";"12000000.00";"0.00";"219.21.111";"hutang lain2"
"12";"2019-12-04";"626.17.111";"Biaya adm smp koper";"001/KA70730/SMP2-12/19";"Kegiatan Ekskul November 2019";"2450000.00";"0.00";"111.27.111";"kas kecil smp koper"
"13";"2019-12-04";"626.17.111";"Biaya adm smp koper";"002/KA70731/SMP2-12/19";"Konsumsi PAS Hari pertama - kelima";"922500.00";"0.00";"111.27.111";"kas kecil smp koper"
"14";"2019-12-04";"626.17.111";"Biaya adm smp koper";"003/KA70732/SMP2-12/19";"Fotocopy (7 bon)";"1685200.00";"0.00";"111.27.111";"kas kecil smp koper"
"15";"2019-12-04";"626.17.111";"Biaya adm smp koper";"004/KA70733/SMP2-12/19";"Buku Perpustakaan";"2784110.00";"0.00";"111.27.111";"kas kecil smp koper"
"16";"2019-12-04";"626.17.111";"Biaya adm smp koper";"005/KA70734/SMP2-12/19";"Buku Perpustakaan";"2397560.00";"0.00";"111.27.111";"kas kecil smp koper"
"17";"2019-12-04";"631.17.111";"Pemel. inventaris smp koper";"006/KK74419/SMP2-12/19";"Perbaikan gitar bass";"355000.00";"0.00";"111.27.111";"kas kecil smp koper"
"18";"2019-12-04";"623.12.111";"Iuran, sampah & dinas smp koper";"007/KK74420/SMP2-12/19";"Partisipasi rapat operator gugus";"150000.00";"0.00";"111.27.111";"kas kecil smp koper"
"19";"2019-12-04";"831.17.111";"Biaya telepon smp koper";"008/KK74421/SMP2-12/19";"Indihome";"749000.00";"0.00";"111.27.111";"kas kecil smp koper"
"20";"2019-12-04";"851.17.111";"Perjln dinas smp koper";"009/KK74422/SMP2-12/19";"Perjalanan dinas rapat sosialisasi PKG dan PKKS";"50000.00";"0.00";"111.27.111";"kas kecil smp koper"
"21";"2019-12-04";"851.17.111";"Perjln dinas smp koper";"010/KK74423/SMP2-12/19";"Perjalanan Dinas English teacher training";"225000.00";"0.00";"111.27.111";"kas kecil smp koper"
"22";"2019-12-04";"623.12.119";"Biaya lomba smp koper";"011/KK74424/SMP2-12/19";"Pendampingan lomba matematika";"75000.00";"0.00";"111.27.111";"kas kecil smp koper"
"23";"2019-12-04";"623.12.119";"Biaya lomba smp koper";"012/KK74425/SMP2-12/19";"Pendampingan siswa lomba lagu mandarin";"25000.00";"0.00";"111.27.111";"kas kecil smp koper"
"24";"2019-12-04";"623.12.111";"Iuran, sampah & dinas smp koper";"013/KK74426/SMP2-12/19";"Kebersamaan rapat gugus I";"150000.00";"0.00";"111.27.111";"kas kecil smp koper"
"25";"2019-12-04";"713.17.111";"Biaya pemel. bangunan smp koper";"014/KK74427/SMP2-12/19";"Pewangi lantai";"18500.00";"0.00";"111.27.111";"kas kecil smp koper"
"26";"2019-12-04";"713.17.111";"Biaya pemel. bangunan smp koper";"015/KK74428/SMP2-12/19";"10 mt selang";"80000.00";"0.00";"111.27.111";"kas kecil smp koper"
"27";"2019-12-04";"623.12.111";"Iuran, sampah & dinas smp koper";"016/KK74429/SMP2-12/19";"Kebersamaan rapat gugus I";"100000.00";"0.00";"111.27.111";"kas kecil smp koper"
"28";"2019-12-04";"713.17.111";"Biaya pemel. bangunan smp koper";"017/KK74430/SMP2-12/19";"35 Tarikan";"126000.00";"0.00";"111.27.111";"kas kecil smp koper"
"29";"2019-12-04";"713.17.111";"Biaya pemel. bangunan smp koper";"018/KK74431/SMP2-12/19";"kabel dan klem";"96500.00";"0.00";"111.27.111";"kas kecil smp koper"
