"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"1";"2020-02-01";"681.19.111";"Kebaktian/rapat/seminar umum";"008AA/ADJ-01/20";"Akrual biaya kebaktian Natal staff, guru, dan karyawan tahun 2019 - konsumsi";"0.00";"6295000.00";"231.11.111";"Biaya yang masih harus dibayar"
"2";"2020-02-01";"681.19.111";"Kebaktian/rapat/seminar umum";"008BB/ADJ-01/20";"Akrual biaya kebaktian Natal staff, guru, dan karyawan tahun 2019 - banner";"0.00";"539000.00";"231.11.111";"Biaya yang masih harus dibayar"
"3";"2020-02-01";"681.19.111";"Kebaktian/rapat/seminar umum";"008CC/ADJ-01/20";"Akrual biaya kebaktian Natal staff, guru, dan karyawan tahun 2019 - souvenir";"0.00";"10131000.00";"231.11.111";"Biaya yang masih harus dibayar"
"4";"2020-02-01";"681.19.111";"Kebaktian/rapat/seminar umum";"008DD/ADJ-01/20";"Akrual biaya kebaktian Natal staff, guru, dan karyawan tahun 2019 - lainnya";"0.00";"48000.00";"231.11.111";"Biaya yang masih harus dibayar"
"5";"2020-02-01";"713.11.111";"Biaya pemel. bangunan tk ciateul";"010DD/ADJ-01/20";"Proyek atap lorong tempat sikat gigi TK Ciateul";"0.00";"3522000.00";"231.11.111";"Biaya yang masih harus dibayar"
"6";"2020-02-01";"713.13.111";"Biaya pemel. bangunan tk tki";"010IA/ADJ-01/20";"Pengecatan TKI - pembagian 50-50 TK dan SD TKI";"0.00";"861250.00";"231.11.111";"Biaya yang masih harus dibayar"
"7";"2020-02-01";"713.14.111";"Biaya pemel. bangunan sd ciateul";"010EE/ADJ-01/20";"Pengecatan SD dan TK Ciateul";"0.00";"3127500.00";"231.11.111";"Biaya yang masih harus dibayar"
"8";"2020-02-01";"713.14.111";"Biaya pemel. bangunan sd ciateul";"010FF/ADJ-01/20";"Perbaikan atas mes pegawai SD Ciateul";"0.00";"2296500.00";"231.11.111";"Biaya yang masih harus dibayar"
"9";"2020-02-01";"713.15.112";"Biaya pemel. bangunan sd tki";"010JJ/ADJ-01/20";"Pengecatan TKI - pembagian 50-50 TK dan SD TKI";"0.00";"861250.00";"231.11.111";"Biaya yang masih harus dibayar"
"10";"2020-02-01";"713.15.112";"Biaya pemel. bangunan sd tki";"010KK/ADJ-01/20";"Rombak lemari SD TKI dan talang-talang";"0.00";"892000.00";"231.11.111";"Biaya yang masih harus dibayar"
"11";"2020-02-01";"713.16.111";"Biaya pemel. bangunan  smp mekar wangi";"010LL/ADJ-01/20";"Pemeliharaan gedung SMP dan SMA";"0.00";"3008300.00";"231.11.111";"Biaya yang masih harus dibayar"
"12";"2020-02-01";"713.18.111";"Biaya pemel. bangunan sma";"010MM/ADJ-01/20";"Pemeliharaan gedung SMP dan SMA";"0.00";"3008300.00";"231.11.111";"Biaya yang masih harus dibayar"
"13";"2020-02-01";"713.15.111";"Biaya pemel. bangunan sd koper";"010AA/ADJ-01/20";"Pemasangan AC Kelas SD Koper";"0.00";"1722500.00";"231.11.111";"Biaya yang masih harus dibayar"
"14";"2020-02-01";"713.15.111";"Biaya pemel. bangunan sd koper";"010BB/ADJ-01/20";"Pemasangan stop kontak ruang guru SD Koper";"0.00";"980000.00";"231.11.111";"Biaya yang masih harus dibayar"
"15";"2020-02-01";"713.15.111";"Biaya pemel. bangunan sd koper";"010CC/ADJ-01/20";"Penggantian keramik kelas SD Koper";"0.00";"3822000.00";"231.11.111";"Biaya yang masih harus dibayar"
