"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"1";"2020-01-01";"219.21.111";"hutang lain2";"001/ADJ-01/20";"Uang muka pertemuan karyawan Dec 2019 menggunakan kas besar ";"1759500.00";"0.00";"117.11.111";"uang muka lain2"
"2";"2020-01-01";"118.31.112";"piutang spp smp koper";"002A/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP dan uang admin SMP Koper TA 19-20 melalui bank BCA - Anonim";"0.00";"500000.00";"119.31.112";"piutang up smp koper"
"3";"2020-01-01";"118.31.112";"piutang spp smp koper";"002B/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP dan uang admin SMP Koper TA 19-20 melalui bank BCA - Lumondo, Debby Oddilia";"0.00";"400000.00";"415.17.111";"u.adm smp koper"
"4";"2020-01-01";"118.31.112";"piutang spp smp koper";"002C/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP dan uang admin SMP Koper TA 19-20 melalui bank BCA - Marcellino Adhiwono";"0.00";"725000.00";"415.17.111";"u.adm smp koper"
"5";"2020-01-01";"118.31.112";"piutang spp smp koper";"002D/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP dan uang admin SMP Koper TA 19-20 melalui bank BCA - Petrina Eliza Kendarogawa";"0.00";"735000.00";"415.17.111";"u.adm smp koper"
"6";"2020-01-01";"118.31.112";"piutang spp smp koper";"002E/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP dan uang admin SMP Koper TA 19-20 melalui bank BCA - Chelsea Clara Agnesta";"0.00";"750000.00";"415.17.111";"u.adm smp koper"
"7";"2020-01-01";"118.31.112";"piutang spp smp koper";"003A/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP, UPS dan uang admin SMP Koper TA 19-20 melalui bank Danamon - Hans Kristian";"0.00";"1215000.00";"415.17.111";"u.adm smp koper"
"8";"2020-01-01";"118.31.112";"piutang spp smp koper";"003B/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP, UPS dan uang admin SMP Koper TA 19-20 melalui bank Danamon - Gabrielle Jeconiah Christiando";"0.00";"1000000.00";"415.17.111";"u.adm smp koper"
"9";"2020-01-01";"119.51.117";"piutang ups smp koper";"003C/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP, UPS dan uang admin SMP Koper TA 19-20 melalui bank Danamon - Alfred";"0.00";"685000.00";"118.31.112";"piutang spp smp koper"
"10";"2020-01-01";"119.51.117";"piutang ups smp koper";"003D/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP, UPS dan uang admin SMP Koper TA 19-20 melalui bank Danamon - Reynaldi Stevanus Andreas Sukirto";"0.00";"670000.00";"118.31.112";"piutang spp smp koper"
"11";"2020-01-01";"118.31.112";"piutang spp smp koper";"003E/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP, UPS dan uang admin SMP Koper TA 19-20 melalui bank Danamon - Zefania Syalomitha Kurniadjaja";"0.00";"440000.00";"415.17.111";"u.adm smp koper"
