"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"1";"2020-03-02";"112.15.111";"deposito";"001/DP-03/20";"BUNGA DEPOSITO PENSIUN BLN MARET 20";"1114999.00";"0.00";"216.11.111";"titipan uang pensiun"
"2";"2020-03-02";"112.39.111";"bank btpn (rk: 1010308182)";"001A/BTPN-03/20";"BUNGA BTPN BLN MARET 2020";"67931.00";"0.00";"541.11.111";"Bunga bank"
"3";"2020-03-02";"541.11.111";"Bunga bank";"001B/BTPN-03/20";"PAJAK BUNGA BANK BTPN BLN MARET 2020";"13586.00";"0.00";"112.39.111";"bank btpn (rk: 1010308182)"
"4";"2020-03-02";"112.35.111";"bank bca r/k.77";"001/BCAUM-03/20";"SEWA LAPANG BASKET HARI KAMIS 4X BLN MARET 2020";"1000000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"5";"2020-03-02";"112.28.111";"bdi a/n. ykki";"001/BDIUM-03/20";"FORMULIR SD CIATEUL TA. 20-21 BLN MARET 2020";"800000.00";"0.00";"407.11.111";"UP bayar dimuka sd ctl"
"6";"2020-03-02";"112.28.111";"bdi a/n. ykki";"002/BDIUM-03/20";"SETORAN USAHA DANA UNIT MEKAR (TINTA)";"560000.00";"0.00";"219.21.111";"hutang lain2"
"7";"2020-03-02";"112.35.111";"bank bca r/k.77";"002/BCAUM-03/20";"SEWA LAPANGAN BASKET 5X BLN MARET 2020";"1250000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"8";"2020-03-02";"112.35.111";"bank bca r/k.77";"003/BCAUM-03/20";"SEWA LAPANGAN BASKET 1X BLN MARET 2020";"300000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"9";"2020-03-02";"112.28.111";"bdi a/n. ykki";"003/BDIUM-03/20";"HASIL PENJUALAN MONITOR 21 PCS";"420000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"10";"2020-03-02";"112.28.111";"bdi a/n. ykki";"004/BDIUM-03/20";"PEMBAYARAN TUNGGAKAN US SMP MW A/N MERARI (TUNGGAKAN SDH DIPUTIHKAN)";"771000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"11";"2020-03-02";"112.35.111";"bank bca r/k.77";"004/BCAUM-03/20";"SEWA LAPANGAN BASKET 5X BLN MARET 2020";"1250000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"12";"2020-03-02";"112.28.111";"bdi a/n. ykki";"005/BDIUM-03/20";"TTPN POT PPH12 JIMMY+KALAM MASA FEB 20";"63150.00";"0.00";"217.11.111";"hutang pph21"
"13";"2020-03-03";"112.28.111";"bdi a/n. ykki";"006/BDIUM-03/20";"SISA PENJUALAN BUKU DETIK SD CIATEUL";"71000.00";"0.00";"219.21.111";"hutang lain2"
