"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0";"0";"0";"0";"0";"0"
"111.21.111";"kas kecil tk ciateul";"16000000";"0";"0";"0";"16000000";"0"
"111.22.111";"kas kecil tk koper";"15000000";"0";"0";"0";"15000000";"0"
"111.23.111";"kas kecil tk tki";"15000000";"0";"0";"0";"15000000";"0"
"111.24.111";"kas kecil sd ciateul";"25000000";"0";"0";"0";"25000000";"0"
"111.25.111";"kas kecil sd koper";"20000000";"0";"0";"0";"20000000";"0"
"111.26.111";"kas kecil smp mekar wangi";"10000000";"0";"0";"0";"10000000";"0"
"111.27.111";"kas kecil smp koper";"20000000";"0";"0";"0";"20000000";"0"
"111.28.111";"kas kecil sma mekar wangi";"25000000";"0";"0";"0";"25000000";"0"
"111.29.111";"kas kecil bps";"0";"0";"0";"0";"0";"0"
"111.30.111";"kas bps-2";"50000000";"0";"0";"0";"50000000";"0"
"111.31.111";"kas smtr";"0";"0";"0";"0";"0";"0"
"111.32.111";"kas kecil komputer";"0";"0";"0";"0";"0";"0"
"111.33.111";"kas kecil sd tki ii";"15000000";"0";"0";"0";"15000000";"0"
"112.15.111";"deposito";"3500000000";"0";"0";"0";"3500000000";"0"
"112.15.112";"deposito/simp. emas";"10625000";"0";"0";"0";"10625000";"0"
"112.22.111";"bdi umum";"0";"0";"0";"0";"0";"0"
"112.23.111";"bdi tk pasundan";"0";"0";"0";"0";"0";"0"
"112.24.111";"bdi a/n. andrew";"0";"0";"0";"0";"0";"0"
"112.25.111";"nisp koper";"0";"0";"0";"0";"0";"0"
"112.26.111";"nisp tki ii";"0";"0";"0";"0";"0";"0"
"112.27.111";"bank niaga";"0";"0";"0";"0";"0";"0"
"112.28.111";"bdi a/n. ykki";"185494999.9400024";"0";"0";"0";"185494999.9400024";"0"
"112.29.111";"cimb niaga ykki";"0";"0";"0";"0";"0";"0"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0";"0";"0";"0";"0";"0"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0";"0";"0";"0";"0";"0"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0";"0";"0";"0";"0";"0"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0";"0";"0";"0";"0";"0"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0";"0";"0";"0";"0";"0"
"112.32.111";"bdi virtual Ctl(3562377469)";"34802668.25000095";"0";"0";"0";"34802668.25000095";"0"
"112.32.112";"bdi virtual koper (3562373021)";"99119965.2899971";"0";"0";"0";"99119965.2899971";"0"
"112.32.113";"bdi tki (virtual account)";"22468261.80000019";"0";"0";"0";"22468261.80000019";"0"
"112.32.114";"bdi virtual mw 93562375307)";"61706732.86999893";"0";"0";"0";"61706732.86999893";"0"
"112.33.111";"bank btpn";"185341241";"0";"0";"0";"185341241";"0"
"112.34.111";"bank mandiri";"63735264.3499999";"0";"0";"0";"63735264.3499999";"0"
"112.35.111";"bank bca r/k.77";"781584442.3499999";"0";"0";"0";"781584442.3499999";"0"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"43927500";"0";"0";"0";"43927500";"0"
"112.36.112";"bca koper no.805556221 (ykki)";"33455000";"0";"0";"0";"33455000";"0"
"112.36.113";"bca tki no.3793009115 (ykki)";"10885000";"0";"0";"0";"10885000";"0"
"112.36.114";"bca mw no.6765550088 (ykki)";"207592500";"0";"0";"0";"207592500";"0"
"112.37.111";"rek.bca ykki no.6765047017";"0";"0";"0";"0";"0";"0"
"117.11.111";"uang muka lain2";"391365000";"0";"0";"0";"391365000";"0"
"117.14.111";"piutg guru sma (krg byr)";"0";"0";"0";"0";"0";"0"
"117.15.111";"piutg kary & pegawai";"213650000";"0";"0";"0";"213650000";"0"
"117.15.112";"pinj. unit utk rekng";"0";"0";"0";"0";"0";"0"
"117.15.113";"pinj.penerima beasiswa";"4500000";"0";"0";"0";"4500000";"0"
"118.11.111";"piutang spp tk ciateul";"2263742";"0";"0";"0";"2263742";"0"
"118.11.112";"piutang spp tk koper";"5460500";"0";"0";"0";"5460500";"0"
"118.11.113";"piutang spp tk tki";"17223050";"0";"0";"0";"17223050";"0"
"118.21.111";"piutang spp sd ciateul";"53151236";"0";"0";"0";"53151236";"0"
"118.21.112";"piutang spp sd koper";"18613257";"0";"0";"0";"18613257";"0"
"118.21.113";"piutang spp sd tki";"9145000";"0";"0";"0";"9145000";"0"
"118.31.111";"piutang spp smp mekar wangi";"48199812.5";"0";"0";"0";"48199812.5";"0"
"118.31.112";"piutang spp smp koper";"249903775";"0";"0";"0";"249903775";"0"
"118.41.111";"piutang spp sma mekar wangi";"122123550";"0";"0";"0";"122123550";"0"
"118.51.111";"uang muka i-learning";"0";"0";"0";"0";"0";"0"
"118.51.112";"tungg du tk koper";"0";"0";"0";"0";"0";"0"
"118.52.111";"arisan skkk";"20000000";"0";"0";"0";"20000000";"0"
