"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"43.130.300,00";"43.130.300,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"69.970.500,00";"69.970.500,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"15.000.000,00";"0,00";"31.430.600,00";"31.430.600,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"25.000.000,00";"0,00";"50.412.000,00";"50.412.000,00";"25.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"79.110.000,00";"79.110.000,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"64.193.600,00";"64.193.600,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"84.431.795,00";"84.431.795,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"107.168.210,00";"107.168.210,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"100.000.000,00";"0,00";"293.761.200,00";"293.761.200,00";"100.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"15.000.000,00";"0,00";"58.644.300,00";"58.644.300,00";"15.000.000,00";"0,00"
"112.15.111";"deposito";"3.000.000.000,00";"0,00";"81.523.288,00";"1.081.523.288,00";"2.000.000.000,00";"0,00"
"112.15.112";"deposito/simp. emas";"10.625.000,00";"0,00";"0,00";"10.625.000,00";"0,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki";"604.517.799,45";"0,00";"8.609.317.428,47";"8.369.394.668,13";"844.440.559,79";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"50.082.640,60";"0,00";"883.633.910,07";"872.721.915,70";"60.994.634,97";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"200.600.438,13";"0,00";"2.048.518.757,32";"2.142.969.892,63";"106.149.302,82";"0,00"
"112.32.113";"bdi tki (virtual account)";"54.091.702,64";"0,00";"683.921.261,93";"700.007.152,99";"38.005.811,58";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"156.197.479,16";"0,00";"1.718.219.751,24";"1.771.525.852,02";"102.891.378,38";"0,00"
"112.33.111";"bank btpn";"364.054.792,00";"0,00";"1.086.443.666,00";"1.000.867.095,00";"449.631.363,00";"0,00"
"112.34.111";"bank mandiri";"10.371.206,03";"0,00";"465.089.428,20";"455.913.560,64";"19.547.073,59";"0,00"
"112.35.111";"bank bca r/k.77";"1.396.040.115,35";"0,00";"3.056.950.000,00";"4.147.099.223,50";"305.890.891,85";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"70.247.250,00";"0,00";"317.371.213,00";"350.180.000,00";"37.438.463,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"226.101.250,00";"0,00";"1.024.611.147,00";"1.185.680.000,00";"65.032.397,00";"0,00"
