"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"1110010000";"Kas Besar";"20.000.000,00";"0,00";"0,00";"0,00";"20.000.000,00";"0,00"
"1110020101";"Kas Kecil";"3.000.000,00";"0,00";"0,00";"0,00";"3.000.000,00";"0,00"
"1110020102";"Kas Kecil";"4.000.000,00";"0,00";"0,00";"0,00";"4.000.000,00";"0,00"
"1110020103";"Kas Kecil";"2.000.000,00";"0,00";"0,00";"0,00";"2.000.000,00";"0,00"
"1110020201";"Kas Kecil";"6.000.000,00";"0,00";"0,00";"0,00";"6.000.000,00";"0,00"
"1110020202";"Kas Kecil";"6.000.000,00";"0,00";"0,00";"0,00";"6.000.000,00";"0,00"
"1110020203";"Kas Kecil";"4.000.000,00";"0,00";"0,00";"0,00";"4.000.000,00";"0,00"
"1110020302";"Kas Kecil";"6.000.000,00";"0,00";"0,00";"0,00";"6.000.000,00";"0,00"
"1110020304";"Kas Kecil";"4.000.000,00";"0,00";"0,00";"0,00";"4.000.000,00";"0,00"
"1110020404";"Kas Kecil";"6.000.000,00";"0,00";"0,00";"0,00";"6.000.000,00";"0,00"
"1110020900";"Kas Kecil Kerohanian";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1110030101";"Kas Kegiatan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1110030102";"Kas Kegiatan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1110030103";"Kas Kegiatan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1110030201";"Kas Kegiatan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1110030202";"Kas Kegiatan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1110030203";"Kas Kegiatan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1110030302";"Kas Kegiatan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1110030304";"Kas Kegiatan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1110030404";"Kas Kegiatan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1121010000";"BDI - Umum - 91235572";"258.883.914,39";"0,00";"447.465.489,18";"562.494.735,99";"143.854.667,58";"0,00"
"1121110001";"BDI - VA Ciateul - 3562377469";"22.940.884,97";"0,00";"58.410.013,51";"72.612.086,70";"8.738.811,78";"0,00"
"1121120004";"BDI - VA Mekar Wangi - 3562375307";"8.103.943,11";"0,00";"52.837.052,44";"55.514.927,49";"5.426.068,06";"0,00"
"1121130002";"BDI - VA Kopo Permai - 3562373021";"20.310.174,18";"0,00";"113.342.492,51";"109.095.917,50";"24.556.749,19";"0,00"
"1121140003";"BDI - VA TKI - 3558977843";"6.905.769,98";"0,00";"51.954.034,42";"1.896.120,88";"56.963.683,52";"0,00"
"1122010000";"BCA - Umum - 7750381132";"443.703.435,35";"0,00";"1.721.336.190,00";"792.670.189,00";"1.372.369.436,35";"0,00"
"1122020000";"BCA - Lain-lain - 6765047017";"183.665.388,70";"0,00";"5.039.061,65";"37.812,33";"188.666.638,02";"0,00"
"1122030000";"BCA - Beasiswa - 2846565407";"232.934.880,00";"0,00";"16.202.000,00";"53.227.750,00";"195.909.130,00";"0,00"
"1122040000";"BCA - Usaha Dana - 2841818883";"915.000,00";"0,00";"14.000.600,00";"30.000,00";"14.885.600,00";"0,00"
"1122110001";"BCA - VA Ciateul - 2799595855";"62.206.923,63";"0,00";"123.465.892,19";"176.198.403,44";"9.474.412,38";"0,00"
"1122120004";"BCA - VA Mekar Wangi - 6765550088";"293.477.239,51";"0,00";"610.230.061,63";"853.501.311,13";"50.205.990,01";"0,00"
"1122130002";"BCA - VA Kopo Permai - 8105556221";"187.866.704,39";"0,00";"390.317.677,50";"545.473.297,50";"32.711.084,39";"0,00"
"1122140003";"BCA - VA TKI - 3793009115";"37.141.826,00";"0,00";"103.866.833,00";"135.162.000,00";"5.846.659,00";"0,00"
"1123010000";"BTPN Syariah - 1010308182";"80.966.343,00";"0,00";"4.632.704,00";"38.619,00";"85.560.428,00";"0,00"
"1123020000";"BTPN - 00020018585";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1123210000";"Deposito";"2.000.000.000,00";"0,00";"4.439.609,00";"4.439.609,00";"2.000.000.000,00";"0,00"
"1123220000";"Deposito Dana Pensiun";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1124010000";"Outstanding Check";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1130010000";"Piutang Guru dan Karyawan";"286.962.000,00";"0,00";"19.500.000,00";"25.170.000,00";"281.292.000,00";"0,00"
"1131010101";"Piutang Uang Gedung/Pangkal (UP)";"6.252.000,00";"0,00";"0,00";"502.000,00";"5.750.000,00";"0,00"
"1131010102";"Piutang Uang Gedung/Pangkal (UP)";"8.876.000,00";"0,00";"0,00";"0,00";"8.876.000,00";"0,00"
"1131010103";"Piutang Uang Gedung/Pangkal (UP)";"8.376.000,00";"0,00";"2.250.000,00";"4.076.000,00";"6.550.000,00";"0,00"
"1131010201";"Piutang Uang Gedung/Pangkal (UP)";"7.513.500,00";"0,00";"0,00";"3.200.000,00";"4.313.500,00";"0,00"
"1131010202";"Piutang Uang Gedung/Pangkal (UP)";"10.028.000,00";"0,00";"0,00";"2.246.000,00";"7.782.000,00";"0,00"
"1131010203";"Piutang Uang Gedung/Pangkal (UP)";"6.063.500,00";"0,00";"2.250.000,00";"5.249.000,00";"3.064.500,00";"0,00"
"1131010302";"Piutang Uang Gedung/Pangkal (UP)";"54.837.000,00";"0,00";"375.000,00";"228.500,00";"54.983.500,00";"0,00"
"1131010304";"Piutang Uang Gedung/Pangkal (UP)";"12.661.000,00";"0,00";"0,00";"1.535.500,00";"11.125.500,00";"0,00"
"1131010404";"Piutang Uang Gedung/Pangkal (UP)";"34.699.750,00";"0,00";"0,00";"1.134.750,00";"33.565.000,00";"0,00"
"1131020101";"Piutang Uang Pengembangan Sekolah (UPS)";"370.000,00";"0,00";"0,00";"370.000,00";"0,00";"0,00"
"1131020102";"Piutang Uang Pengembangan Sekolah (UPS)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"1131020103";"Piutang Uang Pengembangan Sekolah (UPS)";"777.000,00";"0,00";"0,00";"202.000,00";"575.000,00";"0,00"
"1131020201";"Piutang Uang Pengembangan Sekolah (UPS)";"17.179.750,00";"0,00";"0,00";"2.703.000,00";"14.476.750,00";"0,00"
"1131020202";"Piutang Uang Pengembangan Sekolah (UPS)";"23.478.500,00";"0,00";"0,00";"5.241.000,00";"18.237.500,00";"0,00"
"1131020203";"Piutang Uang Pengembangan Sekolah (UPS)";"4.894.000,00";"0,00";"0,00";"481.000,00";"4.413.000,00";"0,00"
"1131020302";"Piutang Uang Pengembangan Sekolah (UPS)";"45.254.500,00";"0,00";"50.000,00";"4.103.000,00";"41.201.500,00";"0,00"
"1131020304";"Piutang Uang Pengembangan Sekolah (UPS)";"16.512.494,00";"0,00";"6,00";"4.612.500,00";"11.900.000,00";"0,00"
"1131020404";"Piutang Uang Pengembangan Sekolah (UPS)";"23.623.750,00";"0,00";"0,00";"7.325.250,00";"16.298.500,00";"0,00"
"1131030101";"Piutang SPP";"2.485.082,00";"0,00";"34.093.750,00";"31.669.250,00";"4.909.582,00";"0,00"
"1131030102";"Piutang SPP";"17.031.499,00";"0,00";"54.517.750,00";"40.240.750,00";"31.308.499,00";"0,00"
