"No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"1";"BANG. M. WANGI";"1";"2008-06-01";"20";"128";"10.67";"9.33";"1937712450";"1033446640.64";"904265809.36";"8073801.88";"1041520442.52";"896192007.48"
"2";"PERIJINAN BANG. M.WANGI";"1";"2007-12-01";"20";"134";"11.17";"8.83";"130600000";"72918333.78";"57681666.22";"544166.67";"73462500.45";"57137499.55"
"3";"BANG.M.WANGI";"1";"2008-07-28";"20";"126";"10.5";"9.5";"449943950";"236220573.96";"213723376.04";"1874766.46";"238095340.42";"211848609.58"
"4";"BANG. M.WANGI";"1";"2008-08-30";"20";"125";"10.42";"9.58";"291199000";"151666146.25";"139532853.75";"1213329.17";"152879475.42";"138319524.58"
"5";"BANG. M.WANGI";"1";"2008-08-30";"20";"125";"10.42";"9.58";"39500000";"20572916.25";"18927083.75";"164583.33";"20737499.58";"18762500.42"
"6";"BANG. M. WANGI";"1";"2008-09-26";"20";"124";"10.33";"9.67";"126486000";"65351100.00";"61134900.00";"527025";"65878125.00";"60607875.00"
"7";"BANG. M. WANGI";"1";"2008-09-27";"20";"124";"10.33";"9.67";"47000000";"24283332.92";"22716667.08";"195833.33";"24479166.25";"22520833.75"
"8";"BANG. M.WANGI";"1";"2008-10-31";"20";"123";"10.25";"9.75";"279928400";"143463304.59";"136465095.41";"1166368.33";"144629672.92";"135298727.08"
"9";"BANG. M.WANGI";"1";"2008-10-29";"20";"123";"10.25";"9.75";"33000000";"16912500.00";"16087500.00";"137500";"17050000.00";"15950000.00"
"10";"BANG. M.WANGI";"1";"2008-11-29";"20";"122";"10.17";"9.83";"228024150";"115912276.86";"112111873.14";"950100.63";"116862377.49";"111161772.51"
