"id";"jenis_aktiva";"quantity";"harga";"total";"tanggal_beli";"maks";"penyusutan";"pemakaian";"status";"id_cat";"created_at";"updated_at"
"1";"BANG. M. WANGI";"1";"1937712450";"1937712450";"2008-06-01 00:00:00";"20";"8073801.88";"114";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"2";"PERIJINAN BANG. M.WANGI";"1";"130600000";"130600000";"2007-12-01 00:00:00";"20";"544166.67";"120";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"3";"BANG.M.WANGI";"1";"449943950";"449943950";"2008-07-28 00:00:00";"20";"1874766.46";"112";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"4";"BANG. M.WANGI";"1";"291199000";"291199000";"2008-08-30 00:00:00";"20";"1213329.17";"111";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"5";"BANG. M.WANGI";"1";"39500000";"39500000";"2008-08-30 00:00:00";"20";"164583.33";"111";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"6";"BANG. M. WANGI";"1";"126486000";"126486000";"2008-09-26 00:00:00";"20";"527025.00";"110";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"7";"BANG. M. WANGI";"1";"47000000";"47000000";"2008-09-27 00:00:00";"20";"195833.33";"110";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"8";"BANG. M.WANGI";"1";"279928400";"279928400";"2008-10-31 00:00:00";"20";"1166368.33";"109";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"9";"BANG. M.WANGI";"1";"33000000";"33000000";"2008-10-29 00:00:00";"20";"137500.00";"109";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"10";"BANG. M.WANGI";"1";"228024150";"228024150";"2008-11-29 00:00:00";"20";"950100.63";"108";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"11";"BANG. M.WANGI";"1";"45500000";"45500000";"2008-11-26 00:00:00";"20";"189583.33";"108";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"12";"BANG. M.WANGI";"1";"325344200";"325344200";"2008-12-30 00:00:00";"20";"1355600.83";"107";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
